BinCenter,Count
0.8335,9636
0.8345,9829
0.8355,9769
0.8365,9828
0.8375,9994
0.8385,9815
0.8395,9943
0.8405,10036
0.8415,9763
0.8425,9977
0.8435,9773
0.8445,10056
0.8455,10068
0.8465,10148
0.8475,10192
0.8485,9904
0.8495,10075
0.8505,9979
0.8515,10091
0.8525,10178
0.8535,10122
0.8545,10093
0.8555,10187
0.8565,10098
0.8575,10219
0.8585,10267
0.8595,10217
0.8605,10318
0.8615,10169
0.8625,9957
0.8635,10256
0.8645,10135
0.8655,10327
0.8665,10367
0.8675,10538
0.8685,10422
0.8695,10415
0.8705,10491
0.8715,10389
0.8725,10326
0.8735,10557
0.8745,10521
0.8755,10509
0.8765,10394
0.8775,10442
0.8785,10474
0.8795,10545
0.8805,10620
0.8815,10599
0.8825,10675
0.8835,10887
0.8845,10555
0.8855,10762
0.8865,10719
0.8875,10887
0.8885,10766
0.8895,10593
0.8905,10619
0.8915,10833
0.8925,10919
0.8935,10830
0.8945,10948
0.8955,10993
0.8965,10916
0.8975,10969
0.8985,10722
0.8995,10872
0.9005,10990
0.9015,11076
0.9025,11070
0.9035,11043
0.9045,11133
0.9055,11214
0.9065,11199
0.9075,11141
0.9085,11215
0.9095,11116
0.9105,11207
0.9115,11277
0.9125,11227
0.9135,11228
0.9145,11426
0.9155,11334
0.9165,11345
0.9175,11520
0.9185,11385
0.9195,11524
0.9205,11466
0.9215,11475
0.9225,11664
0.9235,11727
0.9245,11290
0.9255,11608
0.9265,11557
0.9275,11747
0.9285,11714
0.9295,11615
0.9305,11538
0.9315,11789
0.9325,11829
0.9335,11857
0.9345,11638
0.9355,11885
0.9365,12073
0.9375,12067
0.9385,11864
0.9395,11959
0.9405,11878
0.9415,12208
0.9425,11935
0.9435,11842
0.9445,12155
0.9455,12160
0.9465,12276
0.9475,12379
0.9485,12313
0.9495,12313
0.9505,12305
0.9515,12275
0.9525,12470
0.9535,12356
0.9545,12497
0.9555,12593
0.9565,12625
0.9575,12615
0.9585,12715
0.9595,12779
0.9605,12661
0.9615,12606
0.9625,12934
0.9635,12730
0.9645,12886
0.9655,12849
0.9665,13085
0.9675,12845
0.9685,13126
0.9695,13096
0.9705,13009
0.9715,13139
0.9725,13221
0.9735,13197
