Bin Center, Count
0.5725, 898
0.5735, 868
0.5745, 946
0.5755, 883
0.5765, 920
0.5775, 919
0.5785, 1516
0.5795, 881
0.5805, 1102
0.5815, 946
0.5825, 912
0.5835, 892
0.5845, 894
0.5855, 866
0.5865, 880
0.5875, 853
0.5885, 887
0.5895, 869
0.5905, 891
0.5915, 914
0.5925, 893
0.5935, 869
0.5945, 874
0.5955, 896
0.5965, 891
0.5975, 837
0.5985, 861
0.5995, 793
0.6005, 872
0.6015, 927
0.6025, 855
0.6035, 839
0.6045, 831
0.6055, 831
0.6065, 873
0.6075, 880
0.6085, 884
0.6095, 858
0.6105, 851
0.6115, 861
0.6125, 876
0.6135, 847
0.6145, 852
0.6155, 892
0.6165, 873
0.6175, 867
0.6185, 844
0.6195, 846
0.6205, 854
0.6215, 855
0.6225, 828
0.6235, 873
0.6245, 841
0.6255, 890
0.6265, 855
0.6275, 854
0.6285, 872
0.6295, 855
0.6305, 857
0.6315, 871
0.6325, 829
0.6335, 814
0.6345, 906
0.6355, 856
0.6365, 857
0.6375, 845
0.6385, 795
0.6395, 895
0.6405, 846
0.6415, 791
0.6425, 842
0.6435, 879
0.6445, 851
0.6455, 850
0.6465, 829
0.6475, 838
0.6485, 891
0.6495, 885
0.6505, 813
0.6515, 901
0.6525, 890
0.6535, 802
0.6545, 829
0.6555, 877
0.6565, 881
0.6575, 849
0.6585, 843
0.6595, 889
0.6605, 865
0.6615, 866
0.6625, 907
0.6635, 870
0.6645, 890
0.6655, 938
0.6665, 910
0.6675, 923
0.6685, 846
0.6695, 933
0.6705, 939
0.6715, 909
0.6725, 866
0.6735, 923
0.6745, 854
0.6755, 888
0.6765, 887
0.6775, 923
0.6785, 947
0.6795, 940
0.6805, 949
0.6815, 1010
0.6825, 1159
0.6835, 1230
0.6845, 1216
0.6855, 1211
0.6865, 1225
0.6875, 1243
0.6885, 1191
0.6895, 1123
0.6905, 1148
0.6915, 1057
0.6925, 1094
0.6935, 1126
0.6945, 1057
0.6955, 1029
0.6965, 1061
0.6975, 1069
0.6985, 1018
0.6995, 1007
0.7005, 988
0.7015, 973
0.7025, 953
0.7035, 969
0.7045, 966
0.7055, 955
0.7065, 926
0.7075, 959
0.7085, 956
0.7095, 964
0.7105, 950
0.7115, 999
0.7125, 967
0.7135, 915
0.7145, 924
