BinCenter,Count
0.9355,11001
0.9365,10964
0.9375,10920
0.9385,10909
0.9395,11009
0.9405,11049
0.9415,11163
0.9425,11339
0.9435,11261
0.9445,11038
0.9455,11076
0.9465,11364
0.9475,11362
0.9485,11179
0.9495,11343
0.9505,11354
0.9515,11196
0.9525,11392
0.9535,11206
0.9545,11429
0.9555,11213
0.9565,11473
0.9575,11295
0.9585,11367
0.9595,11617
0.9605,11609
0.9615,11491
0.9625,11478
0.9635,11732
0.9645,11604
0.9655,11611
0.9665,11644
0.9675,11744
0.9685,11781
0.9695,11863
0.9705,11837
0.9715,11952
0.9725,11913
0.9735,12008
0.9745,11822
0.9755,12012
0.9765,11887
0.9775,11938
0.9785,12021
0.9795,12120
0.9805,12100
0.9815,12356
0.9825,12385
0.9835,12273
0.9845,12052
0.9855,12291
0.9865,12294
0.9875,12493
0.9885,12553
0.9895,12441
0.9905,12537
0.9915,12777
0.9925,12827
0.9935,12724
0.9945,12709
0.9955,12799
0.9965,13149
0.9975,12781
0.9985,12729
0.9995,13184
1.0005,13109
1.0015,13155
1.0025,13114
1.0035,13179
1.0045,13362
1.0055,13417
1.0065,13318
1.0075,13381
1.0085,13490
1.0095,13658
1.0105,13667
1.0115,13433
1.0125,13849
1.0135,13907
1.0145,13797
1.0155,14038
1.0165,14187
1.0175,14051
1.0185,14182
1.0195,14441
1.0205,14456
1.0215,14695
1.0225,14601
1.0235,14795
1.0245,14788
1.0255,14809
1.0265,14855
1.0275,14916
1.0285,15071
1.0295,15198
1.0305,15560
1.0315,15261
1.0325,15367
1.0335,15722
1.0345,15619
1.0355,16139
1.0365,15972
1.0375,16207
1.0385,16452
1.0395,16453
1.0405,16765
1.0415,16787
1.0425,16836
1.0435,17118
1.0445,17247
1.0455,17220
1.0465,17459
1.0475,17586
1.0485,17402
1.0495,18118
1.0505,18300
1.0515,18450
1.0525,18534
1.0535,18801
1.0545,19121
1.0555,19372
1.0565,19439
1.0575,19641
1.0585,20053
1.0595,20343
1.0605,20751
1.0615,17994
1.0625,10651
1.0635,10689
1.0645,10810
1.0655,10680
1.0665,10741
1.0675,10431
1.0685,10431
1.0695,10630
1.0705,10256
1.0715,10479
1.0725,10307
1.0735,10276
1.0745,10277
1.0755,10331
1.0765,10261
1.0775,10259
1.0785,9985
1.0795,10032
1.0805,10007
1.0815,9939
1.0825,10012
1.0835,9994
1.0845,9850
1.0855,9984
1.0865,9844
1.0875,9929
1.0885,9646
1.0895,9677
1.0905,9728
1.0915,9535
1.0925,9520
1.0935,9408
1.0945,9512
1.0955,9491
1.0965,9374
1.0975,9495
1.0985,9340
1.0995,9367
1.1005,9277
1.1015,9321
1.1025,9197
1.1035,9150
1.1045,9089
1.1055,8912
1.1065,9164
1.1075,9102
1.1085,9147
1.1095,8914
1.1105,8909
1.1115,8857
1.1125,8918
1.1135,8839
1.1145,8501
1.1155,8628
1.1165,8631
1.1175,8484
1.1185,8625
1.1195,8331
1.1205,8283
1.1215,8146
1.1225,8177
1.1235,8048
1.1245,7886
1.1255,7898
1.1265,7826
1.1275,7638
1.1285,7535
1.1295,7576
1.1305,7374
1.1315,7350
1.1325,7124
1.1335,7295
1.1345,7095
1.1355,7072
1.1365,6961
1.1375,7186
1.1385,6854
1.1395,6701
1.1405,6886
1.1415,6594
1.1425,6550
1.1435,6589
1.1445,6535
1.1455,6328
1.1465,6190
1.1475,6256
1.1485,6148
1.1495,6020
1.1505,6041
1.1515,5788
1.1525,5771
1.1535,5720
1.1545,5443
1.1555,5396
1.1565,5442
1.1575,5381
1.1585,5266
1.1595,5137
1.1605,5064
1.1615,5042
1.1625,4934
1.1635,4871
1.1645,4751
1.1655,4642
1.1665,4725
1.1675,4730
1.1685,4656
1.1695,4492
1.1705,4655
1.1715,4466
1.1725,4451
1.1735,4379
1.1745,4387
1.1755,4333
1.1765,4316
1.1775,4297
1.1785,4292
1.1795,4050
1.1805,4075
1.1815,4111
1.1825,3985
1.1835,4047
1.1845,3881
1.1855,3944
1.1865,3737
1.1875,3883
1.1885,3690
1.1895,3796
1.1905,3748
1.1915,3787
