BinCenter,Count
0.8475,9642
0.8485,9474
0.8495,9300
0.8505,9601
0.8515,9577
0.8525,9640
0.8535,9495
0.8545,9281
0.8555,9597
0.8565,9508
0.8575,9807
0.8585,9633
0.8595,9460
0.8605,9534
0.8615,9561
0.8625,9488
0.8635,9854
0.8645,9702
0.8655,9619
0.8665,9435
0.8675,9555
0.8685,9704
0.8695,9821
0.8705,9680
0.8715,9673
0.8725,9921
0.8735,9688
0.8745,9754
0.8755,9833
0.8765,9915
0.8775,9678
0.8785,9876
0.8795,9833
0.8805,9917
0.8815,9955
0.8825,9971
0.8835,9685
0.8845,10013
0.8855,9936
0.8865,9933
0.8875,9883
0.8885,9937
0.8895,10032
0.8905,9799
0.8915,9906
0.8925,9983
0.8935,9950
0.8945,10136
0.8955,10144
0.8965,10105
0.8975,10121
0.8985,9784
0.8995,9933
0.9005,10285
0.9015,10100
0.9025,10263
0.9035,10220
0.9045,10157
0.9055,10291
0.9065,10209
0.9075,10206
0.9085,10216
0.9095,10492
0.9105,10428
0.9115,10285
0.9125,10453
0.9135,10433
0.9145,10400
0.9155,10435
0.9165,10339
0.9175,10430
0.9185,10655
0.9195,10458
0.9205,10523
0.9215,10588
0.9225,10473
0.9235,10617
0.9245,10700
0.9255,10728
0.9265,10530
0.9275,10497
0.9285,10695
0.9295,10729
0.9305,10697
0.9315,10909
0.9325,10607
0.9335,10906
0.9345,10848
0.9355,10843
0.9365,10945
0.9375,10876
0.9385,10799
0.9395,10970
0.9405,10891
0.9415,10960
0.9425,11194
0.9435,10942
0.9445,11060
0.9455,10867
0.9465,11181
0.9475,11325
0.9485,10956
0.9495,11199
0.9505,11113
0.9515,11117
0.9525,11216
0.9535,11056
0.9545,11340
0.9555,11247
0.9565,11455
0.9575,11269
0.9585,11291
0.9595,11478
0.9605,11492
0.9615,11415
0.9625,11512
0.9635,11689
0.9645,11513
0.9655,11716
0.9665,11635
0.9675,11687
0.9685,11701
0.9695,11668
0.9705,11898
0.9715,11999
0.9725,11906
0.9735,11950
0.9745,11939
0.9755,12181
0.9765,11660
0.9775,11995
0.9785,11914
0.9795,12048
0.9805,12118
0.9815,12237
0.9825,12247
0.9835,12477
0.9845,12069
0.9855,12254
0.9865,12371
0.9875,12493
0.9885,12571
